word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
ofourlady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0.0101076923076923,9,1,ofourlady,0.0006506343685092965,0.6414349232056878,0.0
himself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,-0.0298384615384615,7,1,himself,0.0006506343685092965,0.6414349232056878,0.06666666666666667
room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.060972,4,1,room,0.0006256099697204775,0.6395392040666789,0.06666666666666667
ofthefields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.0105119999999999,11,1,ofthefields,0.0006256099697204775,0.6395392040666789,0.0
onthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.057964,5,1,onthe,0.0006256099697204775,0.6395392040666789,0.0
every,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25,24,0.07338,5,1,every,0.0006256099697204775,0.6395392040666789,0.13333333333333333
andthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,-0.00676,6,1,andthe,0.0006256099697204775,0.6395392040666789,0.0
tothe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.014448,5,1,tothe,0.0006256099697204775,0.6395392040666789,0.0
shesaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,-0.044768,7,1,shesaid,0.0006256099697204775,0.6395392040666789,0.0
white,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.0531839999999999,5,1,white,0.0006256099697204775,0.6395392040666789,0.13333333333333333
therepairer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,-0.0019079999999999,11,1,therepairer,0.0006256099697204775,0.6395392040666789,0.0
door,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,-0.0057833333333333,4,1,door,0.0006005855709316583,0.6375399955160673,0.06666666666666667
your,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,0.0887416666666666,4,1,your,0.0006005855709316583,0.6375399955160673,0.06666666666666667
iwas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,-0.0571,4,1,iwas,0.0006005855709316583,0.6375399955160673,0.0
very,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,24,0.0512291666666666,4,1,very,0.0006005855709316583,0.6375399955160673,0.13333333333333333
upon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0.0181083333333333,4,1,upon,0.0006005855709316583,0.6375399955160673,0.0
