word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
hiv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,-0.1238571428571428,3,1,hiv,0.0014093959731543624,0.6308081703830098,0.06666666666666667
site,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0.0568190476190476,4,1,site,0.0014093959731543624,0.6308081703830098,0.06666666666666667
non,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0.06121,3,1,non,0.0013422818791946308,0.6282723810177272,0.06666666666666667
car,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,-0.3198499999999999,3,1,car,0.0013422818791946308,0.6282723810177272,0.06666666666666667
mice,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0.134565,4,1,mice,0.0013422818791946308,0.6282723810177272,0.06666666666666667
biotechnology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.01738,13,1,biotechnology,0.0013422818791946308,0.6282723810177272,0.06666666666666667
usa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,-0.158415,3,1,usa,0.0013422818791946308,0.6282723810177272,0.0
china,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,14,-0.0257368421052631,5,1,china,0.0012751677852348992,0.6255609474815194,0.13333333333333333
dystrophy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,-0.0839947368421052,9,1,dystrophy,0.0012751677852348992,0.6255609474815194,0.06666666666666667
exon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0.0,4,1,exon,0.0012751677852348992,0.6255609474815194,0.06666666666666667
treatment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,-0.1007526315789473,9,1,treatment,0.0012751677852348992,0.6255609474815194,0.06666666666666667
application,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0.0272894736842105,11,1,application,0.0012751677852348992,0.6255609474815194,0.06666666666666667
also,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,19,0.0831842105263157,4,1,also,0.0012751677852348992,0.6255609474815194,0.06666666666666667
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,19,0.1680894736842105,4,1,they,0.0012751677852348992,0.6255609474815194,0.06666666666666667
mouse,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0.0307421052631578,5,1,mouse,0.0012751677852348992,0.6255609474815194,0.13333333333333333
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,18,17,0.0758833333333333,4,1,that,0.0012080536912751677,0.6226511014835566,0.4
sci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0.0150888888888888,3,1,sci,0.0012080536912751677,0.6226511014835566,0.0
such,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,18,-0.2418722222222222,4,1,such,0.0012080536912751677,0.6226511014835566,0.13333333333333333
based,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0.0133833333333333,5,1,based,0.0012080536912751677,0.6226511014835566,0.13333333333333333
viral,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0.0087444444444444,5,1,viral,0.0012080536912751677,0.6226511014835566,0.13333333333333333
technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0.0630111111111111,10,1,technology,0.0012080536912751677,0.6226511014835566,0.06666666666666667
