word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment
feel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,0.5538607341490548
before,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,898,0,0.22236447661469919
photo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0.27217868303571396
find,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,0.4501564389697647
made,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0.2917203370786522
excellent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0.7505323595505623
being,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,889,0,0.2739449943757034
actually,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,884,0,0.4343186651583716
simple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,879,0,0.2540532423208195
real,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,878,0,0.4513293849658317
tell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,878,0,0.25440330296127533
model,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,873,0,0.339918442153494
off,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,861,0,0.09592148664343765
talk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,0.45244609101516964
keeps,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,0,0.10326081871345029
able,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,836,0,0.34442081339712916
text,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0,0.2042881437125749
tried,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0.205375966183575
having,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0,0.4512368038740917
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,826,0,0.3009572639225183
application,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0.42846691086691074
features,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0.4918381011097417
download,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,809,0,0.2549402966625462
different,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0.355137935323383
needs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,803,0,0.3645890410958904
re,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0.32014253450439123
u,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0.43676624843161854
money,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0,0.01936321112515804
perfect,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0.6609878326996199
correct,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0.14283048469387744
our,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,778,0,0.39487532133676156
helped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0.5990224093264259
awesome,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0.7944532026143788
users,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0.30319057591623033
study,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0.6051143617021288
absolutely,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,751,0,0.4248431424766975
ideas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0.6792378342245982
through,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,747,0,0.43346813922356153
didn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0.1414013422818792
getting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0.22896248313090412
chats,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0.22206675712347348
writing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0.6021171896316514
daily,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,730,0,0.5395820547945205
asking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0.1884057771664373
especially,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,725,0,0.48134744827586257
follow,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,724,0,0.3471994475138121
says,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,-0.05494722222222221
pay,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0.08518407821229047
human,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0.5033207282913169
trying,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,711,0,0.12398340365682115
instead,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,709,0,0.1485359661495063
such,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,709,0,0.4266607898448524
clear,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,709,0,0.5390698166431596
take,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0.26845451977401186
knowledge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0.5972323903818954
going,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0.27977926136363634
did,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,703,0,0.1803687055476529
where,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,702,0,0.32610897435897424
world,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0.5231169757489301
option,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0.24048716119828797
learn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0.604647194244604
