word,pos,source_base
assumes,verb,assume
assuming,verb,assume
assure,verb,assure
assured,verb,assure
assures,verb,assure
assuring,verb,assure
astringe,verb,astringe
astringed,verb,astringe
astringes,verb,astringe
astringing,verb,astringe
astrogate,verb,astrogate
astrogated,verb,astrogate
astrogates,verb,astrogate
astrogating,verb,astrogate
ate,verb,ate
ated,verb,ate
ates,verb,ate
ating,verb,ate
atom-bomb,verb,atom-bomb
atomize,verb,atomize
atomized,verb,atomize
atomizes,verb,atomize
atomizing,verb,atomize
atrophied,verb,atrophy
atrophies,verb,atrophy
atrophy,verb,atrophy
atrophying,verb,atrophy
attach,verb,attach
attach to,verb,attach to
attached,verb,attach
attaches,verb,attach
attaching,verb,attach
attack,verb,attack
attacked,verb,attack
attacking,verb,attack
attacks,verb,attack
attaint,verb,attaint
attainted,verb,attaint
attainting,verb,attaint
attaints,verb,attaint
attemper,verb,attemper
attemperred,verb,attemper
attemperring,verb,attemper
attempers,verb,attemper
attend,verb,attend
attend to,verb,attend to
attended,verb,attend
attending,verb,attend
attends,verb,attend
attenuate,verb,attenuate
attenuated,verb,attenuate
attenuates,verb,attenuate
attenuating,verb,attenuate
attest,verb,attest
attested,verb,attest
attesting,verb,attest
attests,verb,attest
attitudinize,verb,attitudinize
attitudinized,verb,attitudinize
attitudinizes,verb,attitudinize
attitudinizing,verb,attitudinize
attorn,verb,attorn
attorned,verb,attorn
attorning,verb,attorn
attorns,verb,attorn
attract,verb,attract
attracted,verb,attract
attracting,verb,attract
attracts,verb,attract
attune,verb,attune
attuned,verb,attune
attunes,verb,attune
attuning,verb,attune
auction,verb,auction
auctioned,verb,auction
auctioning,verb,auction
auctions,verb,auction
audit,verb,audit
audition,verb,audition
auditioned,verb,audition
auditioning,verb,audition
auditions,verb,audition
audits,verb,audit
auditted,verb,audit
auditting,verb,audit
augment,verb,augment
augmented,verb,augment
augmenting,verb,augment
augments,verb,augment
augur,verb,augur
augurred,verb,augur
augurring,verb,augur
augurs,verb,augur
aurified,verb,aurify
aurifies,verb,aurify
aurify,verb,aurify
aurifying,verb,aurify
auscultate,verb,auscultate
auscultated,verb,auscultate
auscultates,verb,auscultate
auscultating,verb,auscultate
auspicate,verb,auspicate
auspicated,verb,auspicate
auspicates,verb,auspicate
auspicating,verb,auspicate
authenticate,verb,authenticate
authenticated,verb,authenticate
authenticates,verb,authenticate
authenticating,verb,authenticate
author,verb,author
authorize,verb,authorize
authorized,verb,authorize
authorizes,verb,authorize
authorizing,verb,authorize
authorred,verb,author
authorring,verb,author
authors,verb,author
autoclave,verb,autoclave
autoclaved,verb,autoclave
autoclaves,verb,autoclave
autoclaving,verb,autoclave
autograph,verb,autograph
autographed,verb,autograph
autographing,verb,autograph
autographs,verb,autograph
automatize,verb,automatize
automatized,verb,automatize
automatizes,verb,automatize
automatizing,verb,automatize
automobile,verb,automobile
automobiled,verb,automobile
automobiles,verb,automobile
automobiling,verb,automobile
autopsied,verb,autopsy
autopsies,verb,autopsy
autopsy,verb,autopsy
autopsying,verb,autopsy
autotomize,verb,autotomize
autotomized,verb,autotomize
autotomizes,verb,autotomize
autotomizing,verb,autotomize
avail,verb,avail
availed,verb,avail
availing,verb,avail
avails,verb,avail
avalanche,verb,avalanche
avalanched,verb,avalanche
avalanches,verb,avalanche
avalanching,verb,avalanche
average,verb,average
averaged,verb,average
averages,verb,average
averaging,verb,average
avert,verb,avert
averted,verb,avert
averting,verb,avert
averts,verb,avert
avianize,verb,avianize
avianized,verb,avianize
avianizes,verb,avianize
avianizing,verb,avianize
avoid,verb,avoid
avoided,verb,avoid
avoiding,verb,avoid
avoids,verb,avoid
avow,verb,avow
avowed,verb,avow
avowing,verb,avow
avows,verb,avow
avulse,verb,avulse
avulsed,verb,avulse
avulses,verb,avulse
avulsing,verb,avulse
awaken,verb,awaken
awakenned,verb,awaken
awakenning,verb,awaken
awakens,verb,awaken
award,verb,award
awarded,verb,award
awarding,verb,award
awards,verb,award
awe,verb,awe
awed,verb,awe
awes,verb,awe
awing,verb,awe
ax,verb,ax
axe,verb,axe
axed,verb,ax
axes,verb,ax
axing,verb,ax
azure,verb,azure
azured,verb,azure
azures,verb,azure
azuring,verb,azure
babbitt,verb,babbitt
babbitted,verb,babbitt
babbitting,verb,babbitt
babbitts,verb,babbitt
babble,verb,babble
babbled,verb,babble
babbles,verb,babble
babbling,verb,babble
baby-sit,verb,baby-sit
bachelor,verb,bachelor
bachelorred,verb,bachelor
bachelorring,verb,bachelor
bachelors,verb,bachelor
back,verb,back
back out,verb,back out
back up,verb,back up
backbite,verb,backbite
backbited,verb,backbite
backbites,verb,backbite
